,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
126_lisse_3.xyz,1.236828264370002,1.5600531008488048,-0.3962721922935791,3.129300424925019,139.83247745401883,0.05579776308251984,0.07592194388012088,0.021509048502660517,3.956848584952481,0.07893302627481193,0.8797810568932453,2.5151221619309085,4.339038118530771,3.05321445298721
126_lin_parafine_chauffe_4.xyz,4.800013250863076,5.742349733648279,-0.5637590867545196,2.453207709417326,241.74460461884536,0.1412881483578732,0.1867321406639558,0.07110407425632788,17.24350060616912,0.04140144015485882,0.924391869912169,4.237185321783194,11.122225229852425,11.179591752238409
126_lin_parafine_chauffe_5.xyz,4.356466663776218,5.285065883200829,-0.6447174618992227,2.7188848296093795,275.01383829993483,0.13653926173458258,0.18086368487778967,0.06763333115023466,15.889219785416614,0.052328344998278944,0.9293925896179253,6.7806995191044015,10.529776393650161,13.050657263579899
126_lin_parafine_chauffe_3.xyz,4.144230557744745,5.019054885043007,-0.5907565836734721,2.6099309083978306,214.80066968032804,0.13183869739046453,0.17411884714673853,0.06667466780959357,14.850741749906724,0.04514005562550353,0.9169655761530957,4.54734820965062,10.953600071293712,10.29856721857828
126_lin_parafine_chauffe_1.xyz,4.452214334456099,5.351783786430673,-0.605921657914213,2.5786330219144675,247.4394113568922,0.13736731516694034,0.1827900837456249,0.06578254963601272,15.920064624958666,0.04950592644380854,0.9250272340010407,4.550122388459398,10.308623558638436,12.150418207803305
126_lin_parafine_chauffe_2.xyz,4.655965777388323,5.577369668328851,-0.5834997942060155,2.4880515991684686,279.27865875026106,0.12957140068360434,0.17159752593129887,0.06427896113410277,17.24911362489503,0.06047954290378533,0.9451800836649321,6.07844140466287,9.004010963505559,12.856406635041264
126_lin_chauffe_1.xyz,4.81775618211569,5.596749809619524,-0.4410405800302107,2.116286848096629,281.0082061331944,0.13881201836971546,0.18095552621093838,0.07610946341599602,17.89691537408402,0.0498574950710298,0.966954645377294,5.275100044636245,6.02957441053697,13.595939951374126
126_lin_chauffe_3.xyz,5.245081285230741,6.101232614258866,-0.2447183488258651,2.0453328246008335,284.90888292660173,0.14334384277126724,0.18865191523838862,0.07419817651233351,19.406799762391504,0.05164083090089835,0.9637138727738666,7.33414877659958,5.873878879803492,15.859064501729955
126_lin_chauffe_2.xyz,4.819987603710269,5.650352424338656,-0.2255796715050582,2.0880247762201574,252.57775980816723,0.14096996092037894,0.18332378875639233,0.07834186773231784,17.963331785723813,0.060105097385115526,0.9637199454270897,14.261829357925475,7.136957321807307,12.450352904924774
126_lin_chauffe_4.xyz,5.244085218834027,6.134847483466725,-0.3837776801397419,2.101566114298289,293.5954979187898,0.14497866614950186,0.18751253919006516,0.08292571931235636,19.736860664870843,0.05480771955677729,0.9654101672408698,5.608131363064272,6.080799815043754,15.622452389233684
126_lin_chauffe_5.xyz,4.32934200280002,5.10487716408496,-0.3847697900939334,2.22587299961857,222.40307633855863,0.14613640934959132,0.19008472466407428,0.08111410311755737,16.525013038219328,0.052184333364371345,0.9653130047892993,6.8933960351035655,8.156525567706254,10.710975709305135
126_lin_PFA_3.xyz,4.16301989136461,5.000293026187516,-0.7947611489422485,2.768183303022353,347.87578436277164,0.10355374607073621,0.13880684722945683,0.04668421374279815,14.884060585807386,0.04560007096659731,0.9279003564458638,3.959568368735913,8.139266829400423,12.41115287432041
126_lin_PFA_4.xyz,4.231445667097561,4.887905077982104,-0.4382545188175896,2.1322419832486434,371.3335879884836,0.10810597737844453,0.14456341514004376,0.049751620003220996,15.572238320088296,0.047048386303660115,0.9640596059597765,6.07342262143878,23.993493534917334,13.033718670568728
126_lin_PFA_5.xyz,4.918866226215278,5.757285369502227,-0.6819471906392528,2.42505376323759,382.7436464400424,0.12303514656769679,0.16356170076221424,0.05935372461472949,18.068124396285565,0.045679735776688685,0.9610016554934517,13.636495670486141,18.87549234506455,15.11953614834288
126_lin_PFA_2.xyz,4.157531745722234,4.827642267217331,-0.4974798063152701,2.460088857000974,330.9988801769244,0.1309529664817204,0.1723177052712616,0.0678525409308434,14.800428912691693,0.04938534383396051,0.9504570262770029,15.745567692666391,27.301320087247923,12.080934118045569
126_lin_PFA_1.xyz,4.154646926241318,4.87403094423032,-0.548192303960332,2.3316005188758746,275.24481565496,0.11177394302748354,0.14914874662954214,0.05235914493819504,15.506295745999797,0.04393767028731747,0.9598111809691146,3.8123440893176346,7.375772110084526,10.83036228718083
126_lineaire_5.xyz,4.017732096762811,4.711404707838529,-0.569378608963743,2.443760167146079,377.75014613593754,0.08110799479448287,0.11140407911145314,0.027315651127015294,14.792307861118635,0.04388437283269624,0.9628947516975532,3.3252491825630806,10.325566272835403,12.408692497466289
126_lineaire_1.xyz,4.246784162461446,4.861673351670471,-0.5258723505242748,2.224535749878907,453.35268304832425,0.07607511429170534,0.10451884160132752,0.025507994419567193,14.710120967906708,0.03548128255995871,0.9506167239238077,2.346103116482416,7.4415540655052705,13.6589994365205
126_lineaire_4.xyz,4.295350501518284,4.863012286800557,-0.31069743618153584,1.9845619261653984,411.1020804006336,0.08731217829616802,0.1191509763155838,0.03240181786083704,14.432475927860393,0.04013458474245578,0.9449273624479709,5.348279435874813,11.606875604935164,12.937166596853702
126_lineaire_2.xyz,4.263952049823339,4.859181450050212,-0.4896585748079753,2.2270922973297127,469.302853553631,0.07329337044142414,0.10118964931228383,0.02246088095744849,14.478545892867908,0.03382014530062129,0.9573395287569126,1.8815525585990116,8.29344796696018,14.112789285542375
126_lineaire_3.xyz,3.9747071567153927,4.440629474340028,-0.31348909283948106,1.811977445477638,463.45247818484654,0.07241141003730217,0.09978076136588399,0.023035283120142577,13.070505655044236,0.05198807277301979,0.9555158384542185,4.275975349067183,4.693028076870876,12.489913848032986
